image_id,image_path,cx,cy,rw,rh,label
23945062_20211025_153457_025,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_153457_025.jpg,0.555266,0.541401,0.575253,0.711738,0
23945062_20211025_154748_026,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_154748_026.jpg,0.409109477124183,0.565185546875,0.5347222222222222,0.66748046875,5
23945062_20211025_155302_653,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_155302_653.jpg,0.5957924836601307,0.5,0.02900326797385621,0.0400390625,1
23945062_20211025_155327_026,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_155327_026.jpg,0.3417075163398693,0.611328125,0.039624183006535946,0.08984375,1
23945062_20211025_155646_655,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_155646_655.jpg,0.4777369281045752,0.5576171875,0.5698529411764706,0.6845703125,5
23945062_20211025_175551_662,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175551_662.jpg,0.28431372549019607,0.350830078125,0.02696078431372549,0.04443359375,3
23945062_20211025_175551_662,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175551_662.jpg,0.463031045751634,0.191162109375,0.06740196078431372,0.03076171875,3
23945062_20211025_175551_662,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175551_662.jpg,0.3098447712418301,0.501708984375,0.05759803921568627,0.04931640625,4
23945062_20211025_175603_662,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175603_662.jpg,0.5071486928104575,0.503173828125,0.5633169934640523,0.70849609375,5
23945062_20211025_175615_762,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175615_762.jpg,0.5747549019607843,0.533447265625,0.5669934640522876,0.66259765625,5
23945062_20211025_175729_762,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175729_762.jpg,0.5165441176470589,0.52880859375,0.5796568627450981,0.662109375,5
23945062_20211025_175751_762,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175751_762.jpg,0.4991830065359477,0.536376953125,0.5531045751633987,0.64599609375,5
23945062_20211025_175943_263,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_175943_263.jpg,0.5116421568627451,0.52099609375,0.5551470588235294,0.6689453125,5
23945062_20211025_180214_665,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180214_665.jpg,0.43913398692810457,0.69775390625,0.049019607843137254,0.046875,3
23945062_20211025_180214_665,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180214_665.jpg,0.23386437908496732,0.455078125,0.17279411764705882,0.2109375,2
23945062_20211025_180425_763,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180425_763.jpg,0.47671568627450983,0.522705078125,0.5686274509803921,0.67236328125,5
23945062_20211025_180521_063,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180521_063.jpg,0.36090686274509803,0.50537109375,0.5363562091503268,0.6728515625,5
23945062_20211025_180558_664,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180558_664.jpg,0.5298202614379085,0.497314453125,0.5686274509803921,0.73486328125,5
23945062_20211025_180644_763,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180644_763.jpg,0.2581699346405229,0.528564453125,0.025326797385620915,0.05126953125,3
23945062_20211025_180644_763,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180644_763.jpg,0.46854575163398693,0.844970703125,0.08823529411764706,0.03564453125,1
23945062_20211025_180644_763,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180644_763.jpg,0.3263888888888889,0.3837890625,0.02696078431372549,0.052734375,4
23945062_20211025_180658_163,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_180658_163.jpg,0.5241013071895425,0.530517578125,0.5629084967320261,0.68115234375,5
23945062_20211025_181030_164,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_181030_164.jpg,0.5469771241830066,0.535400390625,0.5571895424836601,0.64111328125,5
23945062_20211025_181127_665,D:/lab/dataset/HelloAppleWorld/Yolo-type/Image/23945062_20211025_181127_665.jpg,0.37663398692810457,0.507080078125,0.548202614379085,0.58447265625,5
